FIRST_DNAM,FIRST_CHIE,mean_rain,Year,Month
KONO,NIMIYAMA,6.380931,2015,2
KONO,SANDOR,11.638309,2015,2
KONO,SOA,11.480628,2015,2
KONO,TANKORO,9.107248,2015,2
KONO,TOLI,10.127743,2015,2
KONO,KOIDU CITY,0.0,2015,2
BOMBALI,BIRIWA,2.1573126,2015,2
BOMBALI,BOMBALI SEBORA,1.8082296,2015,2
BOMBALI,BOMBALI SIARI,0.9726993,2015,2
BOMBALI,GBANTI,0.8554625,2015,2
BOMBALI,GBENDEMBU,0.93616384,2015,2
BOMBALI,KAMARANKA,0.38898483,2015,2
BOMBALI,MAGBAIMBA NDORWAHUN,0.9023284,2015,2
BOMBALI,MAKARI,1.287013,2015,2
BOMBALI,MARA,1.9152246,2015,2
BOMBALI,N'GOWAHUN,1.2638613,2015,2
BOMBALI,PAKI MASABONG,3.6193128,2015,2
BOMBALI,SAFROKO LIMBA,2.8358958,2015,2
BOMBALI,MAKENI CITY,0.0,2015,2
FALABA,DELEMANDUGU,8.458729,2015,2
FALABA,DEMBELIA,4.0132437,2015,2
FALABA,DEMBELIA-SINKUNIA,4.1731887,2015,2
FALABA,FOLOSABA,4.352005,2015,2
FALABA,KAMADU YIRAIA,7.405217,2015,2
FALABA,KEBELIA,3.5242867,2015,2
FALABA,KULOR SARADU,8.787416,2015,2
FALABA,MONGO,10.589893,2015,2
FALABA,MORIFINDUGU,9.950741,2015,2
FALABA,NEYA,10.803244,2015,2
FALABA,NYEDU,5.449793,2015,2
FALABA,SULIMA,6.0893164,2015,2
FALABA,WOLLAY BARAWA,8.093008,2015,2
KOINADUGU,DIANG,6.6341176,2015,2
KOINADUGU,GBONKOBON KAYAKA,3.2741344,2015,2
KOINADUGU,KALIAN,6.9828916,2015,2
KOINADUGU,KAMUKEH,3.4640388,2015,2
KOINADUGU,KASUNKO KAKELLIAN,1.875726,2015,2
KOINADUGU,NIENI,5.4369187,2015,2
KOINADUGU,SENGBE,4.63392,2015,2
KOINADUGU,TAMISO,1.4429905,2015,2
KOINADUGU,WARA WARA BAFODIA,4.2873087,2015,2
KOINADUGU,WARA WARA YAGALA,3.5479324,2015,2
TONKOLILI,DANSOGOIA,3.5921118,2015,2
TONKOLILI,GBONKOLENKENI/MASANKONG,4.9664087,2015,2
TONKOLILI,KAFE,7.3117294,2015,2
TONKOLILI,KALANTHUBA,5.983721,2015,2
